400899389,Thunder,76ers,103,97
TEAM,,,,37-78,13-26,18-26,7,40,47,24,8,3,10,20,,105
 ,,,,47.4%,50.0%,69.2%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Ersan Ilyasova,PF,1,17,2-9,1-5,2-4,1,1,2,1,0,1,0,1,-5,7
Robert Covington,SF,1,23,3-9,3-7,0-0,2,4,6,1,2,0,0,2,+0,9
Joel Embiid,C,1,27,10-21,3-5,2-2,4,6,10,4,0,0,0,3,+3,25
Sergio Rodriguez,PG,1,25,3-9,1-2,1-1,0,3,3,7,0,1,2,0,-16,8
Gerald Henderson,SG,1,22,4-7,1-1,0-0,1,2,3,0,0,0,0,3,-11,9
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Richaun Holmes,PF,0,8,1-3,0-1,0-0,0,1,1,0,0,0,0,2,+4,2
Dario Saric,PF,0,16,1-5,0-2,0-0,0,0,0,0,0,0,2,0,-17,2
Hollis Thompson,SF,0,25,1-7,0-4,0-0,1,1,2,1,1,0,0,2,-7,2
Jahlil Okafor,C,0,28,8-10,0-0,0-1,6,7,13,0,0,2,3,1,-19,16
T.J. McConnell,PG,0,17,2-6,0-1,0-0,0,2,2,5,0,1,0,3,-8,4
Timothe Luwawu-Cabarrot,SG,0,6,1-3,0-1,2-2,0,3,3,0,0,1,0,1,+7,4
Nik Stauskas,SG,0,25,0-6,0-3,0-0,0,1,1,5,0,0,3,0,-16,0
Jerryd Bayless,PG,0,DNP-SORE LEFT WRIST
TEAM,,,,36-95,9-32,7-10,15,31,46,24,3,6,10,18,,88
 ,,,,37.9%,28.1%,70.0%

400899470,76ers,Spurs,86,102
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Ersan Ilyasova,PF,1,39,8-17,2-6,7-8,2,7,9,2,4,1,3,5,-15,25
Dario Saric,PF,1,36,5-17,2-7,2-2,3,5,8,1,1,0,6,3,-17,14
Jahlil Okafor,C,1,25,4-12,0-0,1-1,3,6,9,3,0,0,1,3,-13,9
T.J. McConnell,PG,1,32,2-5,0-1,0-0,0,5,5,7,2,1,3,3,-14,4
Nik Stauskas,SG,1,28,2-10,2-5,2-2,1,3,4,1,1,1,1,3,-18,8
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Richaun Holmes,PF,0,19,1-4,0-0,2-6,2,4,6,1,0,1,0,1,+4,4
Chasson Randle,PG,0,15,2-6,1-2,0-0,0,1,1,1,0,0,0,2,+1,5
Sergio Rodriguez,PG,0,17,3-7,1-1,1-2,0,2,2,4,2,0,4,2,+0,8
Timothe Luwawu-Cabarrot,SG,0,30,3-10,1-3,2-2,1,1,2,1,0,1,3,1,-8,9
Robert Covington,SF,0,DNP-RIGHT WRIST INJURY
Joel Embiid,C,0,DNP-REST
Nerlens Noel,C,0,DNP-UPPER RESPIRATORY INFECTION
Gerald Henderson,SG,0,DNP-COACH'S DECISION
TEAM,,,,30-88,9-25,17-23,12,34,46,21,10,5,21,23,,86
 ,,,,34.1%,36.0%,73.9%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Kawhi Leonard,SF,1,25,8-17,0-2,3-5,4,4,8,5,2,2,4,1,+8,19
Dewayne Dedmon,C,1,22,5-7,0-0,3-3,2,8,10,1,0,2,2,4,+17,13
Davis Bertans,C,1,30,5-14,2-8,0-0,2,4,6,3,2,0,2,2,+19,12
Tony Parker,PG,1,26,0-5,0-0,1-2,0,4,4,6,1,0,0,1,+7,1
Danny Green,SG,1,29,5-10,2-5,0-0,1,3,4,0,2,0,0,3,+6,12
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
David Lee,PF,0,17,4-7,0-0,4-6,3,6,9,1,2,2,3,1,+4,12
Joel Anthony,PF,0,13,2-3,0-0,0-0,2,2,4,0,1,1,0,1,-5,4
Jonathon Simmons,SF,0,19,3-8,0-1,5-6,0,3,3,0,0,1,0,2,+11,11
