400899387,Raptors,Lakers,123,114
Chandler Parsons,SF,1,15,1-6,0-2,0-0,0,2,2,1,0,0,0,1,-9,2
Marc Gasol,C,1,35,8-15,0-2,6-6,0,6,6,7,1,0,1,1,-14,22
Mike Conley,PG,1,32,7-16,3-7,4-4,0,1,1,4,0,0,2,1,-11,21
Tony Allen,SG,1,24,3-4,1-1,1-2,1,3,4,2,1,0,3,0,-5,8
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Jarell Martin,PF,0,5,0-1,0-1,0-0,0,2,2,0,0,0,0,2,+1,0
Zach Randolph,PF,0,28,3-12,1-2,4-4,3,6,9,1,1,0,0,1,+2,11
James Ennis III,SF,0,14,0-2,0-1,0-0,0,3,3,0,0,0,1,4,-15,0
Wade Baldwin IV,PG,0,8,0-0,0-0,4-4,0,1,1,1,0,0,1,0,+3,4
Troy Daniels,SG,0,19,3-7,3-7,0-0,0,2,2,1,1,0,0,0,+6,9
Andrew Harrison,SG,0,17,1-3,0-2,8-10,0,1,1,1,0,0,2,4,-6,10
Vince Carter,SG,0,21,3-7,2-4,4-4,1,1,2,0,1,1,0,1,-13,12
TEAM,,,,30-77,10-31,32-35,5,34,39,18,6,1,10,16,,102
 ,,,,39.0%,32.3%,91.4%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Julius Randle,PF,1,37,9-15,0-0,1-4,2,12,14,11,1,0,2,3,+21,19
Luol Deng,SF,1,31,1-4,1-3,0-0,2,4,6,6,0,0,1,0,+15,3
Timofey Mozgov,C,1,38,7-12,0-0,0-0,1,4,5,1,1,1,1,6,+18,14
D'Angelo Russell,PG,1,33,6-12,6-9,0-0,0,4,4,6,1,0,2,0,+18,18
Nick Young,SG,1,27,6-11,6-11,2-4,0,0,0,2,0,0,0,4,+9,20
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Thomas Robinson,PF,0,4,0-2,0-0,0-0,0,0,0,1,0,0,1,2,-7,0
Tarik Black,PF,0,10,1-4,0-0,4-6,1,2,3,0,1,0,0,3,-7,6
